Results of initialisedConsistencyLeiden4 on graphs generated using MergingSplitting
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 2, 0, 0.324773350635812, 0.7418322961645922, 1
32, 2, 7, 0.5, 0, 0, 0.32545621600814306, 0.7329700596901193, 1
32, 2, 7, 0.5, 1, 0, 0.32014367611469263, 0.7340694056388114, 1
32, 2, 7, 0.5, 2, 0, 0.33012890431379155, 0.7380897574295148, 2
32, 2, 7, 0.5, 0, 0, 0.3307296233365105, 0.7284139255778511, 2
32, 2, 7, 0.5, 1, 0, 0.32528634858437505, 0.7286679260858522, 2
32, 2, 7, 0.5, 2, 0, 0.33219220712317643, 0.7372801308102618, 3
32, 2, 7, 0.5, 0, 0, 0.3334522886657636, 0.7288981140462281, 3
32, 2, 7, 0.5, 1, 0, 0.32910517649716137, 0.726219202438405, 3
32, 2, 7, 0.5, 2, 0, 0.3338166573814106, 0.7344464376428753, 4
32, 2, 7, 0.5, 0, 0, 0.33488544916550633, 0.7268026098552196, 4
32, 2, 7, 0.5, 1, 0, 0.33089117095340653, 0.7249690436880873, 4
32, 2, 7, 0.5, 2, 0, 0.335035747992892, 0.7346250317500633, 5
32, 2, 7, 0.5, 0, 0, 0.33586171521586566, 0.7278582994665991, 5
32, 2, 7, 0.5, 1, 0, 0.332255153944357, 0.7232386652273306, 5
32, 2, 7, 0.5, 2, 0, 0.3358075997735731, 0.734351187452375, 6
32, 2, 7, 0.5, 0, 0, 0.3369748149399601, 0.7295450215900432, 6
32, 2, 7, 0.5, 1, 0, 0.33328977429181916, 0.7217940373380746, 6
32, 2, 7, 0.5, 2, 0, 0.33655954295385476, 0.7349941262382524, 7
32, 2, 7, 0.5, 0, 0, 0.3387159714709251, 0.7284496443992886, 7
32, 2, 7, 0.5, 1, 0, 0.3338849931432422, 0.7201509715519431, 7
32, 2, 7, 0.5, 2, 0, 0.3371991122164078, 0.7358712217424436, 8
32, 2, 7, 0.5, 0, 0, 0.339532562754906, 0.7285925196850392, 8
32, 2, 7, 0.5, 1, 0, 0.33429893583827885, 0.7212622237744476, 8
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.32457265095694005, 0.7769756477012953, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.31964371393538543, 0.7563897002794006, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.32550702169388185, 0.754556134112268, 1
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.32404354669222685, 0.7945651828803656, 1
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.3243335155289109, 0.7781940563881129, 1
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.32217322449338265, 0.8065111442722886, 1
32, 2, 7, 0.5, 2, 0.05881647164242988, 0.3225815363210724, 0.7960256858013717, 1
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.31942799557353135, 0.7633866205232414, 1
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.3230201981621071, 0.8089003365506728, 1
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3202264761055796, 0.7588503302006603, 1
32, 2, 7, 0.5, 2, 0.18887560283756183, 0.31029607661832376, 0.8873468059436117, 1
32, 2, 7, 0.5, 1, 0.0820849986238988, 0.3182072383196314, 0.7781464312928624, 1
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.3245790284178562, 0.7736061722123443, 1
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.32034076032345526, 0.767458566167132, 1
32, 2, 7, 0.5, 2, 0.26359713811572677, 0.2986063924895339, 0.9021224917449835, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.32625396881081925, 0.7577986093472187, 1
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.32519723889928887, 0.7525995364490728, 1
32, 2, 7, 0.5, 2, 0.22313016014842982, 0.30732120201081076, 0.8931134112268224, 1
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.32139189128019735, 0.7645375603251208, 1
32, 2, 7, 0.5, 2, 0.11455884399268773, 0.3194278382823091, 0.8329827597155193, 1
32, 2, 7, 0.5, 2, 0.1598797460796939, 0.31333346343103213, 0.8598472821945643, 1
